sample_fp	plate	cycle	well	tile	channel
/Volumes/Elements/sbs/plate_1/cycle_1/0/A1_11_0_Fluorescence_561_nm_-_T.tiff	1	1	A1	11	561_nm_-_T
/Volumes/Elements/sbs/plate_1/cycle_1/0/A1_11_0_Fluorescence_638_nm_-_A.tiff	1	1	A1	11	638_nm_-_A
/Volumes/Elements/sbs/plate_1/cycle_1/0/A1_11_0_Fluorescence_638_nm_-_C.tiff	1	1	A1	11	638_nm_-_C
/Volumes/Elements/sbs/plate_1/cycle_1/0/A1_12_0_Fluorescence_405_nm_-_Penta.tiff	1	1	A1	12	405_nm_-_Penta
/Volumes/Elements/sbs/plate_1/cycle_1/0/A1_12_0_Fluorescence_561_nm_-_G.tiff	1	1	A1	12	561_nm_-_G
/Volumes/Elements/sbs/plate_1/cycle_1/0/A1_12_0_Fluorescence_561_nm_-_T.tiff	1	1	A1	12	561_nm_-_T
/Volumes/Elements/sbs/plate_1/cycle_1/0/A1_12_0_Fluorescence_638_nm_-_A.tiff	1	1	A1	12	638_nm_-_A
/Volumes/Elements/sbs/plate_1/cycle_1/0/A1_12_0_Fluorescence_638_nm_-_C.tiff	1	1	A1	12	638_nm_-_C
/Volumes/Elements/sbs/plate_1/cycle_1/0/A1_13_0_Fluorescence_405_nm_-_Penta.tiff	1	1	A1	13	405_nm_-_Penta
/Volumes/Elements/sbs/plate_1/cycle_1/0/A1_13_0_Fluorescence_561_nm_-_G.tiff	1	1	A1	13	561_nm_-_G
/Volumes/Elements/sbs/plate_1/cycle_1/0/A1_13_0_Fluorescence_561_nm_-_T.tiff	1	1	A1	13	561_nm_-_T
/Volumes/Elements/sbs/plate_1/cycle_1/0/A1_13_0_Fluorescence_638_nm_-_A.tiff	1	1	A1	13	638_nm_-_A
/Volumes/Elements/sbs/plate_1/cycle_1/0/A1_13_0_Fluorescence_638_nm_-_C.tiff	1	1	A1	13	638_nm_-_C
/Volumes/Elements/sbs/plate_1/cycle_1/0/A1_14_0_Fluorescence_405_nm_-_Penta.tiff	1	1	A1	14	405_nm_-_Penta
/Volumes/Elements/sbs/plate_1/cycle_1/0/A1_14_0_Fluorescence_561_nm_-_G.tiff	1	1	A1	14	561_nm_-_G
/Volumes/Elements/sbs/plate_1/cycle_1/0/A1_14_0_Fluorescence_561_nm_-_T.tiff	1	1	A1	14	561_nm_-_T
/Volumes/Elements/sbs/plate_1/cycle_1/0/A1_14_0_Fluorescence_638_nm_-_A.tiff	1	1	A1	14	638_nm_-_A
/Volumes/Elements/sbs/plate_1/cycle_1/0/A1_14_0_Fluorescence_638_nm_-_C.tiff	1	1	A1	14	638_nm_-_C
/Volumes/Elements/sbs/plate_1/cycle_1/0/A1_15_0_Fluorescence_405_nm_-_Penta.tiff	1	1	A1	15	405_nm_-_Penta
/Volumes/Elements/sbs/plate_1/cycle_1/0/A1_15_0_Fluorescence_561_nm_-_G.tiff	1	1	A1	15	561_nm_-_G
/Volumes/Elements/sbs/plate_1/cycle_1/0/A1_15_0_Fluorescence_561_nm_-_T.tiff	1	1	A1	15	561_nm_-_T
/Volumes/Elements/sbs/plate_1/cycle_1/0/A1_15_0_Fluorescence_638_nm_-_A.tiff	1	1	A1	15	638_nm_-_A
/Volumes/Elements/sbs/plate_1/cycle_1/0/A1_15_0_Fluorescence_638_nm_-_C.tiff	1	1	A1	15	638_nm_-_C
/Volumes/Elements/sbs/plate_1/cycle_1/0/A1_16_0_Fluorescence_405_nm_-_Penta.tiff	1	1	A1	16	405_nm_-_Penta
/Volumes/Elements/sbs/plate_1/cycle_1/0/A1_16_0_Fluorescence_561_nm_-_G.tiff	1	1	A1	16	561_nm_-_G
/Volumes/Elements/sbs/plate_1/cycle_1/0/A1_16_0_Fluorescence_561_nm_-_T.tiff	1	1	A1	16	561_nm_-_T
/Volumes/Elements/sbs/plate_1/cycle_1/0/A1_16_0_Fluorescence_638_nm_-_A.tiff	1	1	A1	16	638_nm_-_A
/Volumes/Elements/sbs/plate_1/cycle_1/0/A1_16_0_Fluorescence_638_nm_-_C.tiff	1	1	A1	16	638_nm_-_C
/Volumes/Elements/sbs/plate_1/cycle_1/0/A1_17_0_Fluorescence_405_nm_-_Penta.tiff	1	1	A1	17	405_nm_-_Penta
/Volumes/Elements/sbs/plate_1/cycle_1/0/A1_17_0_Fluorescence_561_nm_-_G.tiff	1	1	A1	17	561_nm_-_G
/Volumes/Elements/sbs/plate_1/cycle_1/0/A1_17_0_Fluorescence_561_nm_-_T.tiff	1	1	A1	17	561_nm_-_T
/Volumes/Elements/sbs/plate_1/cycle_1/0/A1_17_0_Fluorescence_638_nm_-_A.tiff	1	1	A1	17	638_nm_-_A
/Volumes/Elements/sbs/plate_1/cycle_1/0/A1_17_0_Fluorescence_638_nm_-_C.tiff	1	1	A1	17	638_nm_-_C
/Volumes/Elements/sbs/plate_1/cycle_1/0/A1_18_0_Fluorescence_405_nm_-_Penta.tiff	1	1	A1	18	405_nm_-_Penta
/Volumes/Elements/sbs/plate_1/cycle_1/0/A1_18_0_Fluorescence_561_nm_-_G.tiff	1	1	A1	18	561_nm_-_G
